
VVCSoftware: VTM Encoder Version 23.10 [Windows][VS 1944][64 bit] [SIMD=AVX2] 
Info: Conformance window automatically enabled. Adding 4 lumal pel horizontally

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:15 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Sun Jun  1 19:38:56 2025
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 50 )       1184 bits [Y 28.2905 dB    U 38.0940 dB    V 40.2108 dB] [ET     1 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 28.1793 dB    U 38.2653 dB    V 40.1568 dB] [ET     1 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1216 bits [Y 28.3772 dB    U 37.9558 dB    V 40.1910 dB] [ET     1 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1208 bits [Y 28.3246 dB    U 38.0169 dB    V 40.1997 dB] [ET     1 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 28.2357 dB    U 38.3158 dB    V 40.2016 dB] [ET     1 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 28.1002 dB    U 37.8352 dB    V 40.2649 dB] [ET     1 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.8037 dB    U 39.4627 dB    V 40.2984 dB] [ET     1 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.9088 dB    U 39.2076 dB    V 40.3445 dB] [ET     1 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1160 bits [Y 27.5586 dB    U 39.1956 dB    V 40.4123 dB] [ET     1 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1224 bits [Y 27.8679 dB    U 39.1729 dB    V 40.3370 dB] [ET     1 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1256 bits [Y 27.9206 dB    U 39.1562 dB    V 40.2556 dB] [ET     1 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.6075 dB    U 39.2011 dB    V 40.1808 dB] [ET     1 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.5154 dB    U 39.2191 dB    V 40.2757 dB] [ET     1 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1200 bits [Y 27.7697 dB    U 39.2352 dB    V 40.2298 dB] [ET     1 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1264 bits [Y 28.1082 dB    U 39.4615 dB    V 40.2478 dB] [ET     1 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 50 )       1176 bits [Y 28.0530 dB    U 38.2140 dB    V 40.2202 dB] [ET     1 ] [L0] [L1]
